code,name,lat,lon,junction,source
BEU,Bisheshwarganj,27.342962,81.832206,,osm
BEX,Belboni,23.27655,87.152004,,osm
BFE,Bahawalbas,30.146632,74.276301,,osm
BFG,Bagthar,26.796204,77.522302,,osm
BFM,Bhalui,25.073415,86.173186,,osm
BFN,Bugana,29.280059,75.839636,,osm
BFP,Bilochpura,27.2019,77.986789,,osm
BFPA,Bhopatpur,28.45171,79.812338,,osm
BFQ,Bendi,23.756679,84.426163,,osm
BFS,Bharawas,28.116645,76.585474,,osm
BFT,Bhabta,23.986949,88.241624,,osm
BFV,Bahelia Buzurg,28.037786,80.533421,,osm
BFX,Baghi Ghauspur,25.048686,85.679511,,osm
BFY,Bhesana,25.823887,73.717179,,osm
BFZ,Bhandartikuri,23.432899,88.330027,,osm
BGA,Bagalia,23.447013,86.518935,,osm
BGAE,Balagarh,23.122116,88.452961,,osm
BGAN,Bangain,27.272072,81.878401,,osm
BGB,Komagata Maru Budge Budge,22.49289,88.194858,,osm
BGBI,Bagribari,26.204547,90.120587,,osm
BGD,Baragudha,29.697464,75.001841,,osm
